idx,crystal,LYTTP,E_out,E_in
1001,orthorhombic,base-centered,12.9846241393149,12.228592380658208
102,monoclinic,simple,13.409018413769777,13.789860199403657
113,orthorhombic,base-centered,14.99746206456275,11.920903784784478
114,orthorhombic,base-centered,15.255964228106262,13.585338358595004
118,orthorhombic,base-centered,14.723307175961288,12.460497196858956
127,monoclinic,base-centered,18.696579062953987,14.298101121185262
130,orthorhombic,simple,13.952656906650748,8.466302691913437
136,orthorhombic,simple,12.092751338013596,17.83225860298798
140,monoclinic,simple,14.969272437727472,15.685840151309655
141,monoclinic,base-centered,23.18425861953137,16.340325966861894
143,orthorhombic,base-centered,12.169309145053598,10.680049528997321
145,orthorhombic,base-centered,10.74895384093137,9.602746034505538
148,monoclinic,base-centered,21.266936486185113,16.21972760376646
149,monoclinic,base-centered,20.75796825372248,9.957552039075468
151,monoclinic,base-centered,20.224937349115066,12.390904811924322
162,monoclinic,simple,1.597605397737939,3.102781473718025
163,monoclinic,simple,12.946613237430892,21.888985233329482
17,monoclinic,simple,11.754863403677579,11.70250744861675
18,monoclinic,simple,11.697753457562206,11.875081139768902
187,monoclinic,simple,14.011048218633505,14.914050283283187
19,orthorhombic,simple,12.567143820070843,13.230421954267785
20,monoclinic,simple,19.75502007936651,28.91727858369276
21,orthorhombic,simple,8.538271214333452,2.382643341506385
223,monoclinic,simple,12.060124220005077,11.298890628142157
225,monoclinic,simple,9.131477033831708,9.651108070887899
248,monoclinic,base-centered,30.105250334199898,16.40129393127105
26,orthorhombic,simple,5.885894240013596,11.367367746423234
271,monoclinic,simple,20.084033133860622,22.442209010762532
272,orthorhombic,simple,20.32037576737367,17.05292305831545
290,monoclinic,simple,11.019112306715366,18.484564561626943
318,orthorhombic,simple,13.950759737960686,8.499197237811075
326,orthorhombic,simple,10.2498673841453,14.24098232663566
327,orthorhombic,simple,10.871765611391579,14.969914035542972
329,orthorhombic,simple,12.597399843259787,18.0307454236947
331,orthorhombic,simple,11.537043118728564,17.877058408391502
335,monoclinic,simple,24.375602353501552,18.315057751513294
338,monoclinic,simple,11.269086499873003,14.869487303167292
346,triclinic,triclinic-cell,14.200351826761318,16.595753435826904
348,monoclinic,simple,20.711082118398146,12.842109375338962
349,monoclinic,simple,11.864434935151342,7.362306264663439
353,monoclinic,simple,15.547587278489196,11.517177084550225
371,orthorhombic,simple,18.562182752016597,17.971374446955586
372,monoclinic,simple,14.662610170956425,16.575751426812428
373,monoclinic,simple,18.233548958878554,20.23740601719504
374,monoclinic,simple,24.74330268528315,21.057322660157272
375,monoclinic,simple,25.432255614733435,22.208990287715263
38,monoclinic,simple,16.109415727993998,17.40350175603558
4,orthorhombic,simple,10.311877866487094,10.716845545471685
411,monoclinic,base-centered,12.259347403466984,12.43261797375405
412,monoclinic,base-centered,12.99762171764804,11.7605930184623
413,monoclinic,simple,23.155689405759738,19.036382393654993
435,orthorhombic,base-centered,18.818199095367444,11.2574786509914
436,orthorhombic,simple,7.8156283741626895,17.66626930028528
439,orthorhombic,simple,12.029109748080938,16.319690867047292
445,monoclinic,base-centered,21.96906943359244,16.32917140041515
457,monoclinic,simple,21.869124818307103,17.306402397667103
463,triclinic,triclinic-cell,16.995326323791,11.51701653805001
464,triclinic,triclinic-cell,17.17774051315458,11.607702840740618
465,monoclinic,simple,14.40013591320489,14.581621274355975
466,monoclinic,simple,12.883761265791682,13.633780473903867
47,monoclinic,simple,10.003847531660877,8.894431599643095
475,monoclinic,simple,12.342585090335168,11.380645791721811
497,monoclinic,simple,18.543070262286754,13.08248385601752
532,monoclinic,base-centered,30.34389979849435,19.92793684797478
550,monoclinic,simple,8.205531070273995,7.555742364035992
551,orthorhombic,simple,16.06204768485734,16.43322913533479
589,orthorhombic,base-centered,18.490407682025992,15.0323203966586
592,orthorhombic,base-centered,20.944011992990834,13.289225987198193
594,orthorhombic,base-centered,15.765213833413153,15.134333491774921
596,orthorhombic,base-centered,6.854094903075982,7.7527914913444755
597,orthorhombic,simple,12.264963777674634,9.03960111479919
598,orthorhombic,simple,10.535684969626416,12.301854437683911
599,orthorhombic,simple,8.9133721405433,11.960360779099117
600,orthorhombic,simple,10.2963775426886,14.374044993790243
601,orthorhombic,simple,8.85548103907346,13.919543193368302
602,orthorhombic,simple,25.90531342517001,18.69494413530844
603,orthorhombic,simple,22.87024054683649,9.241072019558173
604,orthorhombic,simple,13.341795768529696,15.58015354282349
605,orthorhombic,simple,20.703957714323366,19.190023962779087
608,orthorhombic,simple,16.73694564994199,7.575967162309714
614,monoclinic,simple,12.184851906911755,2.7061343994767024
616,orthorhombic,simple,21.44541228413065,15.833671585465154
618,monoclinic,simple,17.04563901980365,16.057731491786356
