idx,X,Pb_X_Pb,N_penetration,in_plane_Pb_X_Pb,ax_bond_angle,eq_bond_angle,bond_angle_variance,ax_X_X,eq_X_X,ax_bond_length,eq_bond_length,elongation,out_of_plane_disortion,t1,t2,struc_type
638,I,140.5817239,2.877832409,147.3982728,90,90,13.31832607,4.534851328,4.552055101,3.196340103,3.220051056,1.003902233,11.56017573,0.29,0.33,100
639,I,141.4656999,2.849641513,148.3177343,90,90,10.98953282,4.540022902,4.561496339,3.196166907,3.226725792,1.003223739,12.15971089,0.3,0.33,100
640,I,154.4702721,2.619271766,154.6538268,90,90,5.541799015,4.550547284,4.495968278,3.257281868,3.179342266,1.001789832,4.887144542,0.36,0.37,100
641,I,158.7201614,2.547988314,159.1520381,90,90,8.441691311,4.554588466,4.511929497,3.253245541,3.190434983,1.00252516,6.72389171,0.19,0.19,100
642,I,158.2560537,2.546565719,159.1061161,90,90,6.425382863,4.546698792,4.494791834,3.253420489,3.178301893,1.002037548,6.267260454,0.31,0.32,100
645,I,136.7396874,2.656878256,144.3321679,90.01920281,90.12459782,18.20166131,4.545224606,4.517632819,3.238382016,3.192660963,1.00529226,9.63732674,0.17,0.17,100
653,Cl,153.9683608,2.804294047,84.0908646,90.18056159,90.04916627,56.58322417,4.098530427,4.102022863,2.892900482,2.905062264,1.016642351,14.09338582,0,0.36,100
658,I,165.1171867,2.346619454,157.9003946,90.03417878,89.97080581,18.56993988,4.560411099,4.516659307,3.251914065,3.198391473,1.005892844,9.057170192,0.22,0.24,100
659,I,147.7578529,2.434695756,151.6379325,90.06772289,89.87410687,21.27136869,4.565581211,4.603720416,3.195841762,3.261807682,1.006362836,9.270225889,0.16,0.16,100
664,Br,161.4896529,3.052570797,161.4896529,89.87355804,90,42.84522689,4.257770176,4.301279369,2.975172032,3.055324827,1.012694021,4.769189588,0.17,0.5,100
665,Br,161.3830559,3.048487782,161.3830559,89.86830186,90,43.16284562,4.257217162,4.301692253,2.974163833,3.055789887,1.012805241,4.749418212,0.18,0.5,100
667,I,145.5964303,2.744948835,145.7179732,90,90,12.56012011,4.568171722,4.604430465,3.200366313,3.259919195,1.00368732,2.294796781,0.06,0.07,100
675,Cl,138.3440941,2.807509628,146.1795294,90,90,16.31465643,4.056536861,4.062553561,2.868788858,2.872790383,1.004624306,12.40621993,0.09,0.09,100
681,I,142.484155,2.849313935,147.2184061,90,90,7.035359407,4.537238104,4.484788055,3.246157965,3.171807551,1.002156843,9.209510866,0.21,0.21,100
682,Br,132.2892951,2.637108505,132.2892951,89.3269931,90,85.30939627,4.293744116,4.355592189,3.014428935,3.104383896,1.025466398,7.934332401,0,0.21,100
684,I,156.2558933,2.527304237,156.2736172,90,90,20.20988823,4.551899449,4.642739555,3.157168578,3.284339103,1.006142058,6.365161198,0.48,0.5,100
689,I,144.8679561,2.652123444,153.2991635,90,90,6.495664666,4.556482463,4.549354619,3.228690023,3.217103401,1.001851895,12.9851279,0.47,0.5,100
700,Br,143.6660937,2.642694286,151.0875527,90,90,7.061655445,4.26617451,4.258458722,3.024307019,3.011187934,1.001983172,12.6387029,0.5,0.5,100
702,I,142.4831044,2.848191538,147.2424511,90,90,7.075342114,4.537066583,4.484585595,3.246112499,3.171643541,1.002168986,9.21469304,0.21,0.21,100
703,Br,159.0237087,3.337504266,159.0237087,90.34721848,90,80.16242832,4.405520087,4.381843772,3.068205839,3.13302225,1.030754049,3.889860684,0.22,0.33,100
709,I,158.7474367,1.787576819,170.4181756,90.25885346,89.96546112,36.97662747,4.567725429,4.557650735,3.224176647,3.228236092,1.010767687,13.41998648,0.24,0.27,100
732,Br,159.0330185,3.337029343,159.0330185,90.34611844,90,80.0520889,4.405447975,4.382021271,3.068062659,3.133121922,1.030725154,3.87898762,0.22,0.33,100
740,Br,137.1130052,2.667691935,137.1130052,89.83780648,90,16.48188416,4.262211732,4.216438673,3.050968273,2.986477828,1.004964028,3.146680071,0.39,0.42,100
744,Br,138.6078411,2.551418359,142.0533005,90.25758009,90.24915524,61.83390336,4.314128932,4.334935561,3.029167156,3.066984752,1.018569815,9.70917538,0.04,0.08,100
745,I,150.1916436,2.417583641,150.0946626,90.00026239,89.95902636,12.26695148,4.5771374,4.57815799,3.238372118,3.238373204,1.003526511,5.120257218,0.16,0.23,100
748,I,143.9591789,2.670249955,149.6719514,90.00024087,89.89765268,17.22340067,4.565147938,4.578532357,3.211295955,3.244754372,1.005043502,14.67659578,0.27,0.31,100
752,I,153.4578318,3.129945575,84.22582496,90.11820478,90.03896066,40.52952527,4.538803289,4.548155763,3.200166671,3.2204468,1.011589326,14.23206932,0.01,0.31,100
754,I,148.6746213,2.681715441,148.6782086,90,90,1.597583499,4.546043195,4.477909714,3.262531666,3.166361299,1.000847258,2.31775795,0.02,0.02,100
758,I,174.5467285,3.252303307,178.8317229,89.99291693,90.00000188,3.864827585,4.55337534,4.550247863,3.222888466,3.217960379,1.001087996,6.327492473,0.28,0.29,100
759,I,77.37990929,1.806123381,92.01143217,89.99892051,90.00420086,24.35495254,4.598648142,4.591191534,3.259242901,3.249258348,1.006654878,38.94564247,0,0,100
762,I,153.9642371,2.801804031,153.9642371,89.66752644,90,38.63470951,4.563887197,4.598483764,3.217156408,3.262023167,1.011345992,5.946069752,0.46,0.47,100
774,I,150.8181852,2.897314237,180,90.01445869,89.93134204,13.61520652,4.594981859,4.594470541,3.245883756,3.252094242,1.004265718,13.79158863,0.19,0.37,100
775,I,152.7829338,3.106392041,180,89.98223019,89.94206132,9.268327704,4.595724582,4.56805718,3.269363071,3.233000991,1.002790984,15.36960373,0.14,0.37,100
776,I,150.071509,2.781897086,150.0854028,90,90,13.12371015,4.565779207,4.597863917,3.204441637,3.253921678,1.003883565,4.076398639,0.22,0.23,100
784,Br,91.7668852,4.193838015,66.13436404,90.06794728,89.96646132,37.47005238,4.294573889,4.292570614,3.031088538,3.043943292,1.012072535,50.29125505,0.4,0.44,100
785,I,86.80418971,4.422287859,63.61234345,90.0539969,90.03423355,32.12459905,4.540882327,4.569627524,3.198376502,3.230598801,1.00993705,47.64721557,0.42,0.44,100
797,Br,145.419403,2.79107271,145.8897207,90.20311549,89.99059341,25.68291308,4.304349503,4.34607146,3.001750982,3.077659734,1.007646929,4.276893036,0,0.03,100
798,Br,145.4170909,2.790991525,145.8871382,90.20323929,89.9906398,25.68465426,4.304445321,4.346106116,3.001828012,3.077698651,1.007648514,4.272485009,0,0.03,100
807,Br,146.7657841,2.578793369,146.7939952,90,90,8.621099392,4.2881382,4.257197976,3.055490226,3.010834153,1.002569612,3.547897377,0.29,0.31,100
809,Br,149.6312316,2.551074994,149.7167698,90,90,7.978025236,4.279413029,4.221529198,3.068338594,2.985344141,1.002598057,5.45118367,0.49,0.5,100
824,I,148.0420121,2.670509449,148.0339436,89.86768783,89.99371595,20.23254899,4.58671122,4.638742391,3.21871507,3.28159343,1.005968745,6.647142431,0.28,0.31,100
837,Br,161.4450055,4.146864125,111.1347514,90.00364713,90.33126145,62.52453249,4.378713238,4.375126936,3.101011921,3.094303459,1.021232332,40.19418596,0.2,0.23,100
839,Cl,170.381761,3.417320152,175.2656971,90.1043354,90.67785617,53.48476954,4.13990385,4.121462921,2.965882644,2.897783109,1.016870103,41.6916741,0.03,0.05,110
841,Br,163.3963866,2.586652585,177.1499024,89.91461926,89.30892854,114.9103111,4.298234875,4.310822458,3.031259791,3.070518474,1.035454129,39.43564389,0.11,0.26,110
842,Br,139.6332248,2.862433487,144.2737952,90,90,53.6742738,4.295829646,4.293629056,3.024813482,3.051613744,1.015401803,14.99423212,0,0,100
844,Br,136.7333809,2.823362612,140.7849077,90,90,65.22791638,4.286287301,4.308938548,3.009845213,3.059663711,1.019868346,7.822645079,0.45,0.45,100
845,Br,147.341817,2.592504512,147.3423589,90,90,4.067422332,4.27356176,4.215027588,3.063964605,2.980474145,1.001479257,3.437035977,0,0,100
1001,Cl,141.5494452,3.299592371,123.7070725,89.72591848,89.9794338,27.70745221,4.069360574,4.105644729,2.862312634,2.909818344,1.008092658,29.9296364,0,0.12,100
