idx,crystal,LYTTP,E_out,E_in
103,monoclinic,base-centered,14.97025503,19.59410712
104,monoclinic,simple,22.04022032,14.02751701
107,monoclinic,base-centered,13.40592718,17.61204067
108,monoclinic,simple,4.864745455,8.674244541
14,orthorhombic,base-centered,17.80719882,23.01391688
415,monoclinic,simple,14.79343337,14.52657102
416,monoclinic,base-centered,17.28201747,17.69471461
427,orthorhombic,base-centered,11.43555765,12.43973257
432,orthorhombic,base-centered,11.72842949,11.38149137
443,orthorhombic,base-centered,14.41262879,1.686690427
470,monoclinic,simple,9.289181541,12.07887625
478,orthorhombic,base-centered,11.81705148,15.8111109
492,monoclinic,base-centered,18.77274691,30.89584596
493,monoclinic,simple,12.56789567,12.57133216
495,monoclinic,base-centered,8.907918757,11.86371557
496,monoclinic,simple,7.735437476,9.172833522
50,monoclinic,base-centered,11.67057923,11.78729784
500,monoclinic,simple,14.28394366,11.30062263
51,monoclinic,simple,15.0838298,14.83839429
513,monoclinic,base-centered,11.73725535,13.32814008
55,monoclinic,simple,8.130705402,9.585593448
572,orthorhombic,base-centered,11.68593292,16.45655183
668,monoclinic,base-centered,8.396980494,11.27666976
717,orthorhombic,base-centered,13.11053413,18.27075602
720,orthorhombic,simple,10.34630116,12.47401465
724,monoclinic,simple,9.966233453,11.57422968
761,monoclinic,simple,9.48727502,13.53494105
777,orthorhombic,base-centered,18.00553193,18.85682663
788,monoclinic,simple,11.80481941,10.78418795
792,monoclinic,simple,11.71688326,12.2314594
